"id","type_of_course","course_name","course_short_name","url_mask","enrollment_close_date","course_fee","course_duration","is_installment_facility","class_routine","is_new","is_featured","lms_course_id","status","exit_intent_id","old_pid","old_id","discarded","added_date","modified_date","mailchimp_interest_id","hide_from_list","show_new_refund_policy","new_refund_policy","refund_policy_tagline","show_freedownload_msg","freedownload_msg","show_freedownload_succ_msg","freedownload_succ_msg","is_new_welcome_email","new_welcome_email","freedownload_vdo_cnt","duration_type","show_type","time_interval","popup_id","ap_id","show_join_the_waitlist_msg","join_the_waitlist_msg","show_join_the_waitlist_succ_msg","join_the_waitlist_succ_msg","banner_short_information","show_govt_logo_cap","tags","ap_course_cat_id","welcome_call_required","payment_gateway","location_short_name","type_of_course_sec","show_govt_medhavi_logo"
"132","2","iHub, IIT Roorkee & SkillArbitrage jointly present: Executive Certificate Course in Financial Automation and Analytics","IIT-Financial and Data Analytics","ihub-divyasamparkiit-roorkee-skillarbitrage-jointly-present-executive-certificate-course-in-financial-automation-and-analytics","2025-11-12 12:51:00","1,55,000 + GST","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2025-11-13 12:51:33","2026-07-02 17:07:40",,"N","N","","","N","","N","","N","","","month","T","0","0","300","N","","N","","","N","iHub DivyaSampark@IIT","10","Y","Cashfree","IN","3","0"
"131","2","iHub, IIT Roorkee & SkillArbitrage jointly present : Executive Certification in Corporate Governance, ESG and AI Safety","I‑Powered Corporate Governance Assurance Program","ihub-divyasamparkiit-roorkee-skillarbitrage-jointly-present-executive-certification-in-corporate-governance-esg-and-ai-safety","2025-11-19 14:21:00","1,55,000 + GST","6","N","8-10 hours/week","Y","N",,"A","204",,,"N","2025-10-31 14:25:22","2026-07-02 17:07:55",,"N","Y","","","N","","N","","N","","","month","T","0","0","299","N","","N","","This course is powered by iHub DivyaSampark@IIT Roorkee & SkillArbitrage. You will receive a co-branded certificate from iHub DivyaSampark@IIT Roorkee & SkillArbitrage upon successful completion.","N","iHub DivyaSampark@IIT","10","Y","Cashfree","IN","3","0"
"130","2","iHub, IIT Roorkee & SkillArbitrage jointly present: Executive Certification in AI Orchestration and Business Automation","AI-Driven Marketing and Sales Automation","ihub-iit-roorkee-and-skillarbitrage-1","2026-08-15 23:59:00","1,55,000 + GST","6","N","8-10 hours/week","Y","N",,"A","204",,,"N","2025-10-31 11:20:54","2026-08-10 12:08:49",,"N","Y","","","N","","N","","N","","","month","T","0","0","298","N","","N","","This course is powered by iHub DivyaSampark@IIT Roorkee & SkillArbitrage. You will receive a co-branded certificate from iHub DivyaSampark@IIT Roorkee & SkillArbitrage upon successful completion.","N","iHub DivyaSampark@IIT","10","Y","Cashfree","IN","3","0"
"129","13","Global Academic Networking & Professional Relationship Building Program","Global Academic Networking","global-academic-networking-professional-relationship-building-program",,"66000","6","N","8-10 hours/week","Y","N",,"A","204",,,"N","2025-08-31 12:25:25","2026-08-21 14:08:48",,"N","Y","","","N","","N","","N","","","month","T","0","0","297","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN","3","0"
"128","6","AI-Driven Marketing and Sales Automation for Business Growth","Sales Leadership & AI-Powered Revenue Mastery","ai-driven-marketing-and-sales-automation-for-business-growth","2026-01-31 23:59:00","75000","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2025-08-17 17:21:09","2026-03-22 19:03:00",,"N","Y","","","N","","N","","N","","","month","T","0","0","296","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN","3","0"
"127","13","Strategic Sales Leadership & AI-Powered Revenue Mastery","Sales Leadership & AI-Powered Revenue Mastery","strategic-sales-leadership--ai-powered-revenue-mastery",,"75000","12","N","","","",,"","204",,,"N","2025-08-17 17:21:01",,,"","","","","","","","","","","","month","T","0","0","295","","","","","","","","1","","Cashfree","IN",,"0"
"126","13","AI-Powered Growth Tools for MSME Success","AI-Powered Growth Tools","ai-powered-growth-tools-for-msme-success",,"75000","3","N","8-10 hours/week","Y","N",,"A","204",,,"N","2025-08-17 12:55:39","2026-01-22 18:01:13",,"N","Y","","","N","","N","","N","","","month","T","0","0","294","N","","N","","Build Strategic AI Tools That Drive Product-Led, Marketing-Led & Sales-Led Growth","N","Remote International Work","11","Y","Cashfree","IN","3","0"
"125","13","AI-Powered Financial Automation for Indian Businesses","AI-Powered Financial Automation","ai-powered-financial-automation-for-indian-businesses",,"60000","6","N","8-10 hours/week","Y","N",,"A","204",,,"N","2025-08-10 15:03:29","2026-01-22 18:01:56",,"N","Y","","","N","","N","","N","","","month","T","0","0","293","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN","3","0"
"124","13","AI-Powered Accounting and Financial Automation for Indian Businesses","AI-Powered Accounting and Financial Automation","ai-powered-accounting-and-financial-automation-for-indian-businesses","2026-08-15 23:59:00","60000","6","N","8-10 hours/week","Y","N",,"A","204",,,"N","2025-07-20 12:02:41","2026-08-10 12:08:13",,"N","Y","","","N","","N","","N","","","month","T","0","0","292","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN","3","0"
"123","13","AI-Powered Corporate Governance Assurance Program for Independent Directors","AI-Powered Corporate Governance Assurance Program","ai-powered-corporate-governance-assurance-program-for-independent-directors","2026-09-15 23:59:00","60000","6","N","8-10 hours/week","Y","N",,"A","204",,,"N","2025-07-18 19:25:47","2026-08-21 19:08:47",,"N","N","","","N","","N","","N","","","month","T","0","0","291","N","","N","","","N","Remote International Work","10","N","Cashfree","IN","3","0"
