"id","course_id","banner_name","image_name","show_syllabus","show_enroll_now","show_refund_policy","show_enroll_close_date","show_free_download","status","banner_type","use_as_listing","banner_listing","added_date","modified_date","infographic_value"
"32","31","Banner","80ed06d5587c1f2dfb3d53b9f416df24.jpg","Y","Y","Y","Y","Y","A","primary",,"","2023-08-03 20:03:21","2026-08-21 13:08:07",
"33","32","Banner",,"N","N","N","N","Y","A",,,,"2023-08-04 13:33:51",,
"34","33","Banner","8bf490219d4768a75d7afe00f6cbb5ba.jpeg","Y","Y","N","Y","N","A","primary",,"","2023-08-10 17:04:23","2024-02-09 15:02:27",
"35","34","Banner","3a704427712a50484e01ede249f2eee4.jpg","Y","Y","Y","Y","Y","A","primary",,"","2023-08-19 13:32:11","2026-08-21 14:08:22",
"36","35","Banner","6bacd5092370c2c29489db6ed5424204.jpg","Y","Y","Y","Y","N","A","primary",,"","2023-08-31 21:46:39","2023-09-01 15:09:23",
"37","36","Banner","9648d5ace9be625205d41d506b35b9ea.jpg","Y","Y","Y","Y","N","A","primary",,"","2023-09-01 16:06:26","2023-09-01 17:09:30",
"38","37","Banner","7bf669d90d10bc8520731a42cc24cdf8.jpg","Y","Y","Y","Y","Y","A","primary",,"","2023-10-13 18:52:33","2026-08-21 14:08:11",
"39","38","Banner","00653028184981d697e11ff93d7e5deb.jpeg","Y","Y","Y","Y","N","A","primary",,"","2023-10-13 19:46:29","2023-10-13 20:10:36",
"40","39","Banner","d273af9ac0590398bfa2641082242aab.jpg","Y","Y","Y","Y","N","A","primary",,"","2023-10-28 16:50:53","2023-10-28 17:10:36",
"41","40","Banner","74f9d0367721443e2cf2f2894eedd5a5.jpeg","Y","Y","Y","Y","N","A","primary",,"","2023-10-28 17:33:48","2023-10-28 18:10:53",
"42","41","Banner","862f106bfa69f8e83adc6c6453bd81e1.jpg","Y","Y","Y","Y","N","A","primary",,"","2023-12-22 19:38:15","2023-12-26 14:12:19",
"43","42","Banner","c03e80aa12b01b98d895233f680c4673.jpg","Y","Y","Y","Y","N","A","primary",,"","2023-12-22 20:45:41","2023-12-26 15:12:12",
"44","43","Banner","361b976e65b8e9c9e039e77c42b92e2f.jpg","Y","Y","Y","Y","N","A","primary",,"","2023-12-22 21:06:53","2023-12-26 15:12:56",
"45","44","Banner","54e7c5144b99fb8b3750aaa0d19bdd7a.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-01-28 11:37:42","2024-01-28 12:01:57",
"46","45","Banner","5118096591a70f8cc2c7862776c0ae8d.jpg","Y","Y","N","Y","N","A","primary",,"","2024-03-17 10:36:29","2024-03-17 11:03:21",
"47","46","Banner","b98ae44568a9989974ad9e8295d27232.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-04-14 10:00:13","2024-04-14 10:04:30",
"48","47","Banner","07846d2161d4bf2d4184150d4cb382df.jpg","Y","Y","N","Y","N","A","primary",,"","2024-04-20 23:37:01","2024-04-20 23:04:12",
"49","48","Banner","def7d57f09fd85fa7faba301e29bff46.jpg","Y","Y","N","N","N","A","primary",,"","2024-05-18 18:30:14","2024-05-18 18:05:39",
"50","49","Banner","c40ed53d9c92510f8eb86e32618cadc1.jpg","Y","Y","N","Y","N","A","primary",,"","2024-05-21 16:33:14","2024-05-21 16:05:25",
"51","50","Banner","8a07d50afbfdaf1eada15d15f1bc126a.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-05-21 17:29:17","2024-05-21 18:05:51",
"52","51","Banner","6848c6de4af5abb7f872d9e43c78cab1.jpeg","Y","Y","N","Y","N","A","primary",,"","2024-05-31 16:11:18","2024-05-31 17:05:18",
"53","52","Banner","3739aadc1ad24761a1b1c2c0988b3e67.jpg","Y","Y","N","Y","N","A","primary",,"","2024-06-01 13:44:26","2024-06-01 13:06:35",
"54","53","Banner","d5216716513cd97b889a717b87e70f1a.jpg","Y","Y","N","Y","N","A","primary",,"","2024-06-01 13:47:08","2024-06-01 13:06:16",
"55","54","Banner","86581816b6d67871f5f91671366d2015.jpg","Y","Y","N","Y","N","A","primary",,"","2024-06-28 14:09:31","2024-06-28 14:06:38",
"56","55","Banner","d67d37fd2ee8be881b2a9a41f255a9c4.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-06-29 15:10:02","2024-06-29 15:06:39",
"57","56","Banner","c2441bc14bdbf20fb53b1f876e09c1d6.jpg","Y","Y","N","Y","N","A","primary",,"","2024-07-11 16:15:35","2024-07-25 17:07:00",
"58","57","Banner","1580004a090a2af568fb8cd0181e47c4.jpg","Y","Y","N","Y","N","A","primary",,"","2024-07-14 13:50:06","2024-07-14 14:07:18",
"59","58","Banner","32f77a9a87bdfd8373a5f1edf7b6b31f.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-07-25 14:05:36","2024-07-25 17:07:54",
"60","59","Banner","2f29426c8752663a8130459b733b28ad.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-07-25 16:17:52","2024-07-25 19:07:10",
"61","60","Banner","d55abe1ced5cb88672177e4848b15a0c.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-08-14 18:29:46","2024-08-29 16:08:30",
"62","61","Banner","7e8f1d47ace0f9366e9a79921d4bba9b.jpg","Y","Y","N","N","N","A","primary",,"","2024-08-14 18:54:29","2024-08-14 22:08:41",
"63","62","Banner",,"N","N","N","N","Y","A",,,,"2024-08-14 19:30:14",,
"64","63","Banner",,"N","N","N","N","Y","A",,,,"2024-08-14 19:32:30",,
"65","64","Banner","","Y","Y","N","Y","N","A","primary",,"","2024-08-16 17:01:00","2024-08-16 21:08:40",
"66","65","Banner","","Y","Y","N","Y","N","A","primary",,"","2024-08-16 17:01:10","2024-08-16 20:08:18",
"67","66","Banner","","Y","Y","N","Y","N","A","primary",,"","2024-08-16 17:26:56","2024-08-16 21:08:07",
"68","67","Banner",,"N","N","N","N","Y","A",,,,"2024-08-16 17:27:13",,
"69","68","Banner","cbcd9d676349a08319010158ee2250df.jpg","N","N","N","N","Y","A","primary",,"","2024-08-16 22:18:07","2024-08-28 09:08:58","[{""infogra_key"":""Testing"",""infogra_val"":""Testing"",""infogra_image"":""logo1_1724818918.jpg""}]"
"70","69","Banner","b20cd5d14754361190537874a09796c1.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-08-17 10:47:56","2024-08-17 11:08:18",
"71","70","Banner","3179fef18bffcd48f282803b32a74e2b.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-08-23 18:40:24","2024-08-29 16:08:37",
