"id","course_id","module_name","added_date","modified_date","status"
"95","18","Privacy Operational Life Cycle: Assess for example awareness trainings","2023-02-19 04:16:08",\N,"A"
"96","18","Privacy Operational Life Cycle: Protect for example ensuring technical measures","2023-02-19 04:17:55",\N,"A"
"97","18","Privacy Operational Life Cycle: Sustain for example compliance audits","2023-02-19 04:18:29",\N,"A"
"98","18","Privacy Operational Life Cycle: Respond for example Data Breach Mgmt","2023-02-19 04:19:27","2023-02-19 04:20:25","A"
"99","20","Exploring the AI Landscape: Introduction to Artificial Intelligence","2023-03-23 02:48:45","2023-07-22 04:14:22","D"
"100","20","How to use ChatGPT for various use cases- with in-class and take home practice assignments","2023-03-23 02:50:23","2023-07-22 04:14:26","D"
"101","20","How to make awesome presentations","2023-03-23 02:54:07","2023-07-22 04:14:31","D"
"102","20","How to use Perplexity.AI","2023-03-23 02:54:49","2023-07-22 04:14:36","D"
"103","20","How to use generative AI tools Playform and Dall-E2 for artwork and graphics","2023-03-23 02:55:16","2023-07-22 04:14:41","D"
"104","20","How to write marketing copy, product description, LinkedIn headlines, Instagram Captions using PicsArt AI Writer and Notion AI","2023-03-23 02:56:52","2023-07-22 04:14:15","D"
"105","20","How to use Riffusion and Boomy for creating music","2023-03-23 02:57:53","2023-07-22 04:14:10","D"
"108","22","How to use internationally accepted accounting softwares like Quickbooks, Xero, Wave and Zoho Books for book-keeping, accounting and reporting","2023-04-19 02:50:15",\N,"A"
"109","22","How to transition to prepare financial statements as per US GAAP for Indian graduates, students and accountants","2023-04-19 02:52:21",\N,"A"
"110","22","Disclosures of financial Statements under US GAAP","2023-04-19 02:53:36",\N,"A"
"111","22","Principles of accounting for assets under US GAAP","2023-04-19 02:54:10",\N,"A"
"112","22","Principles of accounting for liabilities","2023-04-19 02:55:55",\N,"A"
"113","22","Revenue Recognition under US GAAP (vs. IFRS and IndAS)","2023-04-19 02:57:19",\N,"A"
"114","22","Expense Recognition under US GAAP (vs. IFRS and IndAS)","2023-04-19 02:57:51",\N,"A"
"115","22","Preparing consolidated financial statements under US GAAP (vs. IFRS and IndAS)","2023-04-19 02:58:50","2023-04-20 01:04:03","A"
"116","23","The American Legal System and Corporate Sector from a compliance perspective","2023-04-19 03:53:08",\N,"A"
"117","23","Registering an entity in the US and Conversions","2023-04-19 03:55:09",\N,"A"
"118","23","Officers, decision making and governance in US companies","2023-04-19 03:58:33",\N,"A"
"119","23","Changes in capital, share transactions and borrowing transactions","2023-04-19 04:01:33",\N,"A"
"120","23","Funding methods and investment process","2023-04-19 04:03:12",\N,"A"
"121","23","Mergers and acquisitions","2023-04-19 04:05:12",\N,"A"
"122","23","Foreign Corporations","2023-04-19 04:07:36",\N,"A"
"123","23","US Bankruptcy and insolvency","2023-04-19 04:08:31",\N,"A"
"124","23","Capital markets and listing","2023-04-19 04:09:43",\N,"A"
"125","23","Takeovers (including hostile takeovers)","2023-04-19 04:12:36",\N,"A"
"126","23","Corporate litigation","2023-04-19 04:14:54",\N,"A"
"127","23","Navigating through various platforms to get corporate paralegal opportunities","2023-04-19 04:15:33",\N,"A"
"128","24","Overview of Corporate and Personal Income Tax in the US","2023-04-19 05:10:59",\N,"A"
"129","24","Deductions and relaxations under US Tax Laws","2023-04-19 05:13:28",\N,"A"
"130","24","Emerging themes under US Tax Law","2023-04-19 05:14:24",\N,"A"
"131","24","How to perform tax compliance work for US residents and US businesses","2023-04-19 05:15:18",\N,"A"
"132","24","Taxation of important business transactions in the US","2023-04-19 05:16:45",\N,"A"
"133","24","Taxation of International Income by the US: Key Scenarios","2023-04-19 05:18:18",\N,"A"
"134","24","Implications of violation of tax laws in the US","2023-04-19 05:20:44",\N,"A"
"135","24","Overview of state income taxes in the US","2023-04-19 05:22:23",\N,"A"
"136","24","FATCA","2023-04-19 05:23:30",\N,"A"
"137","25","Players in corporate finance market and their role","2023-04-20 12:30:45",\N,"A"
"138","25","Overview of careers and work in corporate finance","2023-04-20 12:32:02",\N,"A"
"139","25","Key components of corporate finance and commercial motives","2023-04-20 12:33:22",\N,"A"
"140","25","Common types of financing transactions","2023-04-20 12:34:08",\N,"A"
"141","25","Types of capital investments and valuation techniques and terminology","2023-04-20 12:35:00",\N,"A"
"142","25","Steps involved in an M&A transaction","2023-04-20 12:37:00",\N,"A"
"143","25","Key legal rules around M&A","2023-04-20 12:39:02",\N,"A"
"144","25","Valuation for M&A","2023-04-20 12:39:54",\N,"A"
"145","25","Exits for private equity","2023-04-20 12:45:53",\N,"A"
"146","25","Understanding relative priority of debt and equity","2023-04-20 12:46:42",\N,"A"
"147","25","Equity vs. debt financing","2023-04-20 12:48:00",\N,"A"
"148","25","Types of debt","2023-04-20 12:49:04",\N,"A"
"149","25","Underwriting with respect to public financings","2023-04-20 12:50:19",\N,"A"
"150","25","Understanding dividends/return on capital","2023-04-20 12:51:50",\N,"A"
"151","25","Working capital management for working in corporations","2023-04-20 12:52:47",\N,"A"
"152","25","Cash flow analysis","2023-04-20 12:53:47",\N,"A"
"153","25","Capital Budgeting Process:","2023-04-20 12:54:29",\N,"A"
"154","25","Financial modelling","2023-04-20 12:55:19",\N,"A"
"155","20","How to use AI for financial modelling","2023-04-20 01:05:49","2023-07-22 04:14:05","D"
"156","20","Visual editing with Runway and Genmo","2023-04-20 01:07:35","2023-07-22 04:13:59","D"
"157","20","Other AI tools such as Write Sonic and Peppertype.ai","2023-04-20 01:08:23","2023-07-22 04:13:54","D"
"179","27","How to create winning client proposals for international clients","2023-05-20 01:34:25",\N,"A"
"180","27","How to impress a recruiter/ prospective client in an interview","2023-05-20 01:35:40",\N,"A"
"181","27","How to conduct yourself like a master in a project kickoff meeting","2023-05-20 01:37:11",\N,"A"
"182","27","Common reasons for project failure","2023-05-20 01:39:11",\N,"A"
"183","27","Common reasons for project failure (Bonus chapter for IT professionals)","2023-05-20 01:40:09",\N,"A"
"184","27","Expectation-setting with clients and seniors","2023-05-20 01:42:13",\N,"A"
"185","27","How to propose your idea in meetings, brainstorming sessions, and strategic discussions even when it is a work-in-progress","2023-05-20 01:44:47",\N,"A"
"186","27","How to lead/conduct and participate in daily stand-ups and other meetings with your teams like a startup CEO","2023-05-20 01:46:26",\N,"A"
"187","27","Managing up: How to keep your client/senior onboard and inspired through the journey of your delivery cycle until delivery of a complex project (and after)","2023-05-20 01:47:11",\N,"A"
"188","27","How to write effective reports and make effective presentations","2023-05-20 01:48:06",\N,"A"
"189","27","How to write high quality training documents and manuals (or clearly understandable comments for your code if you are an IT professional)","2023-05-20 01:48:25",\N,"A"
"190","27","How to deal with last minute modifications and change requests in a way that solves the problem","2023-05-20 01:48:49",\N,"A"
"191","27","How to say no and decline requests without being rude and preserve your honour and integrity","2023-05-20 01:49:56",\N,"A"
"192","27","Practice assignments to do this","2023-05-20 01:51:52",\N,"A"
"193","27","How to identify hidden assumptions and biases that business teams may operate from and point them out in a constructive way","2023-05-20 01:52:49",\N,"A"
"194","27","Why you need to be a champion of correct and user-friendly English for every product release to stand out and get projects","2023-05-20 01:54:04",\N,"A"
"195","27","Negotiation and persuasion strategies that exponentially increase your effectiveness, client and team satisfaction whether you are a freelancer or a corporate employee at any level","2023-05-20 01:55:16",\N,"A"
"196","27","How to resolve disputes and conflicts within your team or with clients","2023-05-20 01:57:36",\N,"A"
"197","27","How to deliver product pitches and conversations to build your brand, raise investments and convert high-potential clients","2023-05-20 01:58:31",\N,"A"
"198","27","Giving and taking feedback from your team","2023-05-20 01:59:44",\N,"A"
"199","27","Bonus practice assignments","2023-05-20 02:01:59",\N,"A"
"200","28","EXPLORING THE AI LANDSCAPE: INTRODUCTION TO ARTIFICIAL INTELLIGENCE","2023-05-21 12:17:16",\N,"A"
"201","28","IMPORTANT USE CASES OF AI FOR SENIOR PROFESSIONALS WITH EXAMPLES","2023-05-21 12:18:39",\N,"A"
"202","28","HOW TO USE CHAT GPT AND OTHER AI TOOLS TO GENERATE IDEAS FOR STORIES AND SOCIAL MEDIA CONTENT IN YOUR NICHE","2023-05-21 12:19:19",\N,"A"
"203","28","HOW TO GENERATE EFFECTIVE SOCIAL MEDIA POSTS AND VIRAL STORIES EVEN IF YOU HAVE NEVER POSTED MUCH BEFORE AND BUILD A FOLLOWING ON SOCIAL MEDIA","2023-05-21 12:20:02",\N,"A"
"204","28","HOW TO GENERATE INTERVIEW IDEAS AND QUESTIONS SO THAT YOU CAN GET FEATURED BY LEADING INDUSTRY PODCASTS AND BUILD AUTHORITY","2023-05-21 12:20:39",\N,"A"
"205","28","HOW TO USE AI TO INTERACT WITH OTHER HIGH-IMPACT INDIVIDUALS","2023-05-21 12:20:54",\N,"A"
"206","28","OVERVIEW OF AI POWERED TOOLS AND FEATURES IN HOOTSUITE INSIGHTS, LUMEN5, SMARTLY.IO, CANVA, BUFFER","2023-05-21 12:21:11",\N,"A"
"207","28","HOW TO WRITE NARRATIVES LIKE MALCOLM GLADWELL OR SALMAN RUSHDIE","2023-05-21 12:21:43",\N,"A"
"208","28","HOW TO USE AI TO PITCH YOUR IDEAS TO JOURNALISTS AND PR AGENTS AND GET MEDIA COVERAGE","2023-05-21 12:21:58",\N,"A"
"209","28","HOW TO USE AI TO IDENTIFY THEMES FOR GUEST AND GENERATE CONTENT FOR POSTS ON THIRD PARTY WEBSITES","2023-05-21 12:22:15",\N,"A"
"210","28","HOW TO USE AI TO WRITE ORIGINAL ARTICLES FOR YOUR BLOG AND GUEST POSTS THAT GENERATE ATTENTION","2023-05-21 12:22:33",\N,"A"
"211","28","HOW TO USE AI TO REPURPOSE YOUR CONTENT FOR OTHER SOCIAL MEDIA CHANNELS","2023-05-21 12:23:25",\N,"A"
"212","28","HOW TO PERFORM CUTTING-EDGE MARKET AND INDUSTRY RESEARCH USING AI AND USE IT FOR DECISION-MAKING, HIGH-STAKES MEETINGS AND PITCHES","2023-05-21 12:23:39",\N,"A"
"213","28","HOW TO START A NEWSLETTER SERVICE FOR YOUR NETWORK USING AI-GENERATED CONTENT AND BUILD YOUR AUDIENCE AND CREDIBILITY","2023-05-21 12:23:59",\N,"A"
