"id","course_faculty_id","course_id","faculty_id","status","added_date","modified_date"
"309","6","14","16","A","1729418391",
"310","6","14","17","A","1729418391",
"311","6","14","18","A","1729418391",
"312","6","14","19","A","1729418391",
"313","6","14","79","A","1729418391",
"314","65","12","29","A","1729512934",
"315","65","12","80","A","1729512934",
"332","63","33","35","A","1729847732",
"333","63","33","56","A","1729847732",
"334","63","33","77","A","1729847732",
"335","63","33","87","A","1729847732",
"353","19","34","88","A","1730885363",
"354","19","34","89","A","1730885363",
"355","19","34","90","A","1730885363",
"356","19","34","91","A","1730885363",
"357","19","34","92","A","1730885363",
"358","19","34","93","A","1730885363",
"359","2","8","3","A","1731045201",
"360","2","8","30","A","1731045201",
"361","2","8","46","A","1731045201",
"364","66","97","94","A","1731072662",
"365","66","97","95","A","1731072662",
"366","67","100","96","A","1732269609",
"367","68","101","96","A","1732271207",
"368","50","78","3","A","1732974098",
"369","50","78","30","A","1732974098",
"370","50","78","35","A","1732974098",
"371","50","78","46","A","1732974098",
"376","70","103","22","A","1733468650",
"377","70","103","62","A","1733468650",
"378","70","103","63","A","1733468650",
"379","46","73","47","A","1734244547",
"380","46","73","48","A","1734244547",
"381","47","72","47","A","1734244768",
"382","47","72","48","A","1734244768",
"383","45","71","47","A","1734244894",
"384","45","71","48","A","1734244894",
"385","44","70","47","A","1734245113",
"386","44","70","48","A","1734245113",
"387","36","61","47","A","1734245214",
"388","36","61","48","A","1734245214",
"389","38","60","47","A","1734245285",
"390","38","60","48","A","1734245285",
"405","24","40","30","A","1736083256",
"406","24","40","35","A","1736083256",
"407","24","40","41","D","1736083256",
"412","71","3","41","D","1736083810",
"413","71","3","87","A","1736083810",
"414","71","3","97","A","1736083810",
"418","29","55","4","A","1736428760",
"419","29","55","35","A","1736428760",
"420","29","55","46","A","1736428760",
"421","29","55","98","A","1736428760",
"422","72","111","47","A","1739977437",
"423","72","111","48","A","1739977437",
"424","60","92","73","A","1742902297",
"425","60","92","74","A","1742902297",
"426","60","92","75","A","1742902297",
"427","60","92","76","A","1742902297",
"428","52","81","35","A","1742989476",
"429","52","81","41","D","1742989476",
"430","52","81","59","A","1742989476",
"431","52","81","60","A","1742989476",
"432","22","37","6","A","1744794899",
"433","22","37","8","A","1744794899",
"434","14","25","54","A","1749628939",
"435","14","25","99","A","1749628939",
"440","69","102","22","A","1757682249",
"441","69","102","62","A","1757682249",
"442","69","102","84","A","1757682249",
"443","69","102","85","A","1757682249",
"444","53","82","22","A","1757682252",
"445","53","82","62","A","1757682252",
"446","53","82","84","A","1757682252",
"447","53","82","85","A","1757682252",
"448","73","130","35","A","1761892126",
"449","73","130","46","A","1761892126",
"450","73","130","56","A","1761892126",
"452","74","131","35","A","1761906886",
"453","74","131","100","A","1761906886",
"454","17","30","52","A","1762524929",
"455","17","30","53","A","1762524929",
"456","17","30","54","A","1762524929",
"457","17","30","55","A","1762524929",
"458","17","30","101","A","1762524929",
"461","75","132","35","A","1763020540",
"462","75","132","96","A","1763020540",
"463","75","132","102","A","1763020540",
"464","75","132","103","A","1763020540",
"465","76","133","104","A","1763560332",
"466","76","133","105","A","1763560332",
"467","77","29","2","A","1763709046",
"468","77","29","3","A","1763709046",
"469","77","29","4","A","1763709046",
"470","77","29","5","A","1763709046",
"471","77","29","6","A","1763709046",
"472","77","29","7","A","1763709046",
"473","78","134","35","A","1764315478",
"474","78","134","54","A","1764315478",
"475","78","134","96","A","1764315478",
"476","78","134","102","A","1764315478",
"477","78","134","103","A","1764315478",
"479","79","136","102","A","1766048707",
"480","79","136","106","A","1766048707",
"481","80","41","107","A","1773407233",
"482","80","41","108","A","1773407233",
"483","80","41","109","A","1773407233",
"485","18","31","35","A","1773571009",
"486","81","138","102","A","1786360263",
"487","81","138","106","A","1786360263",
"488","82","139","102","A","1786364252",
"489","82","139","106","A","1786364252",
"490","83","140","96","A","1786854479",
"491","83","140","102","A","1786854479",
"492","83","140","106","A","1786854479",
"493","84","141","96","A","1786854940",
"494","84","141","106","A","1786854940",
"496","85","142","104","A","1787317977",
"497","85","142","110","A","1787317977",
"498","85","142","111","A","1787317977",
"499","85","142","113","A","1787317977",
"500","85","142","114","A","1787317977",
