"id","faculty_name","faculty_designation","faculty_organisation","faculty_linkedin","image_name","added_date","modified_date","status"
"26","Suprotik Das","NYU LLM, Dual-qualified attorney (New York and India, lives in New York), Ex-Cyril Amarchand Mangaldas, works for the management team of a SPAC, specializes in TMT, IP and Technology-focussed PE and VC transactions, and M&A.",,"https://www.linkedin.com/in/suprotik-das-3297b755/","suprotik-das-1681901631.png","1681901631",,"A"
"27","Neha Rastogi","CA + LLB, India and New York qualified lawyer, Associate at Ruchelman P.L.L.C will take some guest lectures on US tax laws and compliance",,"","neha-rastogi-1681901666.jpg","1681901666",,"A"
"28","Svetlana Kamyshanskaya","Attorney and Startup Advisor, Primum Law Group, San Francisco, having 20+ years of experience",,"https://www.linkedin.com/in/svetlanakamyshanskaya/","svetlana-kamyshanskaya-1681901707.png","1681901707",,"A"
"29","Priyanka Sinnarkar","based in Italy, expert in Skill Arbitrage courses, LLM from Queen Mary Univ. of London, ex-Senior Paralegal at Noble Finance Solutions Limited, UK",,"","priyanka-sinnarkar-1681901743.jpg","1681901743",,"A"
"30","Rishee Rhudra","Corporate Lawyer with approx 2 years of experience of working in the law practice industry of working as a legal counsel of Delhi International Airport Limited.",,"","rishee-rhudra-1681901781.png","1681901781","1736083516","D"
"31","Sunil Agarwal","Senior Standing Counsel, Delhi High Court, Ex-IRS, Ex Senior Partner, AZB and Partners, teaches international tax",,"https://www.linkedin.com/in/sunilagarwal1986/","sunil-agarwal-1681904173.png","1681904173",,"A"
"32","Mehul Mehta","CA, Director - Commercial and Compliance Knight Frank (India) Private Limited, a leading international property consulting company. He has 25 years of experience in finance, compliance, commercial contracting and corporate legal matters, ex-Commercial Head for Australia, Africa, Jordan and Europe for Sterling and Wilson, a multinational EPC Contracting Company. He has also authored a book on startup fundraising and another one on EPC industry",,"https://www.linkedin.com/in/mehulmehtafca?originalSubdomain=in","mehul-mehta-1681973991.jpg","1681973991",,"A"
"33","Semanti Choudhary","Ex-Amarchand, Khaitan, having more than decade long experience in cross jurisdictional work in labour laws.",,"","semanti-choudhary-1687339644.png","1687339644",,"A"
"34","Anirban Das","CPO LKS (Law Firm),  Top 35 TA PAI Young HR Leaders 2021, Top 100 HRunder40. He is a seasoned HR professional with 17+ years of experience including nine years with the various Big 4 Accounting and Consulting firms like Ernst and Young, Deloitte and PricewaterhouseCoopers where he worked at different mid and senior-level HR strategic roles. He will be taking guest sessions in our strategic HR course.",,"","anirban-das-1687339680.png","1687339680",,"A"
"35","Yash Vijayvargiya","Co-Founder of Lawsikho & SkillArbitrage, Spearheading 100+ courses in AI, Law & Marketing to empower 25,000+ learners across the world",,"https://www.linkedin.com/in/yashnujs/?originalSubdomain=in","yash-vijayvargiya-1690095768.jpeg","1690095768","1763021321","A"
"36","NISHVITHA CS","Legal Counsel and Company Secretary",,"https://www.linkedin.com/in/nishvitha-cs-35187163/","nishvitha-cs-1693569178.jpg","1693569178","1715679450","P"
"37","SAMARTH CHADDHA","Assistant Manager (Legal) at Aster DM Healthcare",,"","samarth-chaddha-1693569243.jpg","1693569243",,"A"
"38","GARV MALHOTRA","Partner at Skywards Law",,"","garv-malhotra-1693569275.jpg","1693569275",,"A"
"39","SAKSHI SARAN","Advocate",,"","sakshi-saran-1693569306.jpg","1693569306",,"A"
"40","PALLAVI CHANDRASEKHAR","Principal Associate, LawSikho, ex-Surana & Surana International Attorneys",,"","pallavi-chandrasekhar-1693569335.jpeg","1693569335",,"A"
"41","Kiran Dhaiya","Mentor at SkillArbitrage",,"https://www.linkedin.com/in/kiran-dhaiya/?originalSubdomain=in","kiran-dhaiya-1706422803.png","1706422803","1751635457","P"
"42","Sajal Kushwah","Owner at PrimeCraft Media- The Perfect Solution For Your Video Edits",,"https://www.linkedin.com/in/sajalkushwah/","sajal-kushwah-1706422866.png","1706422866",,"A"
"43","Sagar Bajaj","Expert",,"https://www.linkedin.com/in/sagar-bajaj-cpa/","sagar-bajaj-1715352403.png","1715337875","1715352404","A"
"44","VISHAKHA GUPTA","Litigator, Former Associate at Trilegal",,"https://www.linkedin.com/in/vishakha-gupta-54775399/","vishakha-gupta-1716290402.jpg","1716290402",,"A"
"45","UJJAWAL SATSANGI","Advocate, High Court, Allahabad",,"https://www.linkedin.com/in/ujjawal-satsangi-9aba3644/?originalSubdomain=in","ujjawal-satsangi-1716290426.jpg","1716290426",,"A"
"46","Vishal Yadav","Senior Associate at Lawsikho",,"https://www.linkedin.com/in/vishal-yadav17/","vishal-yadav-1717835733.jpg","1717835733",,"A"
"47","Josh Temin","Data Science Leader, Data Product Developer",,"","josh-temin-1720699156.png","1720699156",,"A"
"48","Vicky Ikonomidou","Associate Professor at George Mason University",,"","vicky-ikonomidou-1720699221.png","1720699221",,"A"
"49","Sumit Kumar","Data Science and Tableau Specialist",,"","sumit-kumar-1720699283.png","1720699283","1734244444","D"
"50","Ankit Maheshwari","Expertise in Big Data",,"","ankit-maheshwari-1720699333.png","1720699333",,"A"
"51","Arpit Sharma","Data Scientist and Machine Learning Specialist",,"","arpit-sharma-1720699381.png","1720699381",,"A"
"52","Harika Uppala","Senior Associate at Skillarbitrage",,"","harika-uppala-1725626297.jpg","1725626297",,"A"
"53","Chinaza Ukadike","Associate at Skillarbitrage",,"","chinaza-ukadike-1725626395.jpg","1725626395",,"A"
"54","CA AMIT BAJAJ","A seasoned finance professional with 23+ years of experience across banking, academia, and corporate consulting. A first-attempt Chartered Accountant, he has worked with leading institutions like ICICI Bank, Axis Bank, Yes Bank, and Saraswat Bank, and has taught at COEP Technological University, D.Y. Patil University, and MNLU. His core strengths include credit risk, financial analysis, internal controls, compliance, and project finance. He currently trains professionals at LawSikho in US GAAP, ",,"https://www.linkedin.com/in/ca-amit-bajaj-16a26821b?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app","ca-amit-bajaj-1749628892.jpeg","1725626443","1749629055","A"
"55","Kiran Agarwal","US CPA, CA",,"","kiran-agarwal-1725626491.jpg","1725626491",,"A"
"56","Tanisha Malla","Principal Associate, Skill Arbitrage",,"https://in.linkedin.com/in/tanishamalla","tanisha-malla-1726387988.jpg","1726387988",,"A"
"57","Krishna Madan","Business Analytics Instructor at Skill Arbitrage,  EX-Instructor at Geekster,EX-Instructor at Pepcoding",,"","krishna-madan-1726666829.jpg","1726666829",,"A"
"58","Nitin","testing",,"https://in.linkedin.com/in/","nitin-1726827514.jpg","1726827514","1726827583","D"
"59","Sunil Kumar","Law graduate from Delhi University and MBA from NMIMS in Operations Management.",,"","sunil-kumar-1726985167.jpg","1726985167",,"A"
"60","Shruti Goel","Head of Student Experience, Lawsikho and SkillArbitration",,"","shruti-goel-1726985346.jpg","1726985346",,"A"
"61","Shrikant Verma","Head of Business Excellence at LawSikho",,"","shrikant-verma-1726985750.jpg","1726985750",,"A"
"62","ANJALA PARVEEN","Anjala graduated in B.A. LLB (Hons.) from the National University of Advanced Legal Studies, Kochi, in the year 2015. She enrolled as an advocate with the Bar Council of Maharashtra & Goa in August 2015 and obtained her Certificate of Practice from the All India Bar Council in 2017. Currently, Anjala resides in Singapore and works remotely for Vidhii Partners, Advocates, in Mumbai. She is also a legal consultant to an Insolvency Professional registered with IBBI. After successfully giving the S",,"https://www.linkedin.com/in/anjala-parveen","anjala-parveen-1727427749.jpg","1727427749",,"A"
"63","RAVEENA RANI","Dual-qualified lawyer (India and England & Wales) with over 5 years of experience in Dispute Resolution and IPR, Patent and Trademark Attorney in India, working in a Swiss law firm",,"","raveena-rani-1727427956.jpg","1727427956",,"A"
"64","KAREN REA","Karen has been a Barrister for 40 years and presently she works with various healthcare and financial sector Regulators in the capacity of a Legal Adviser/Assessor to Panels/Committees sitting in thei",,"","karen-rea-1727428304.jpg","1727428270","1727428304","A"
"65","VATSAL M. PARIKH","Mr. Vatsal M. Parikh is a member of the International Bar Association and several elite International Arbitration Institutions. He is currently working as a Paralegal in the Financial Conduct Authorit",,"","vatsal-m-parikh-1727428390.jpg","1727428390",,"A"
"66","Sutapa Jana","Registered patent agent, Acura IP services",,"https://www.linkedin.com/in/sutapa-jana-88717715?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app","sutapa-jana-1728556884.jpg","1728556884",,"A"
"67","Sneha Menon","Patent agent, Senior Associate at K&S Partners",,"https://www.linkedin.com/in/sneha-menon-3a96a4a2?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app","sneha-menon-1728556920.jpg","1728556920",,"A"
"68","Trupti Joshi","Consultant at K&S Partners",,"https://www.linkedin.com/in/trupti-joshi-87427018b?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app","trupti-joshi-1728556959.jpg","1728556959",,"A"
"69","Kalyan Potukuchi","CEO / Director specializing in IP (Patent) Management and Project/Design Engineering at BKSAY WORKS PVT. LTD",,"https://www.linkedin.com/in/kalyan-potukuchi-1ba55254?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app","kalyan-potukuchi-1728556995.jpg","1728556995",,"A"
"70","Manasi Vakil","Manasi Vakil is a US Patent Bar Exam qualified professional with over 7+ years of experience in the field of US Patent and Intellectual Property. She describes herself as as a creator, learner and a passionate IP practitioner. She is currently associated with AEON Law, Seattle, Washington, as a Patent Agent. She has a masters degree in Pharmaceuticals and holds a PG Diploma from one of the reputed Law universities in India, the Nalsar Law University. She switched her career from being a Pharmaci",,"https://www.linkedin.com/in/manasivakil/","manasi-vakil-1728832677.jpg","1728832677",,"A"
"71","Vrinda Singh","Teacher",,"https://www.linkedin.com/in/vrinda-s-079078102/","vrinda-singh-1728981851.jpg","1728981851",,"A"
"72","Ms. Krusha Bhatt","NCA Qualified, Lecturer - Jindal Global Law School",,"https://www.linkedin.com/in/krusha-bhatt-63194683","ms-krusha-bhatt-1729169041.jpg","1729169041","1742902216","D"
"73","Mr. Ajay Singh Praveen","Licensed Lawyer - Law Society of Ontario, Experienced Subject Matter Expert and Faculty, Law and Business Management, Leadership and Communication, NCA courses, Course Development and Delivery Brampton, Ontario, Canada",,"https://www.linkedin.com/in/ajay-singh-praveen/","mr-ajay-singh-praveen-1729169089.jpg","1729169089",,"A"
